LTI,Observation.related.to,Type.of.Activity,Observation.Category,Reason.for.Deviation,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Engineering & Project,Employee,Maintenance,Health,Procedure Not Followed,Mon,September,Road Incident,Single Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SANF,Topic 4,Medium,First Aid
Engineering & Project,Contractor,Construction,Workplace Safety,Procedure Not Followed,Tue,September,Material Handling,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SANF,Topic 5,Medium,Medical case
Engineering & Project,Employee,Maintenance,Environment,Procedure Not Existing,Sat,September,Material Handling,Group Working,M/C Working,Unsafe Act,Workplace Safety,Process,SANF,Topic 6,Medium,Medical case
Engineering & Project,Employee,Operations,Workplace Safety,Procedure Not Existing,Fri,September,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 4,Medium,Medical case
Steel Manufacturing,Employee,Others,Orderliness,Procedure Not Adequate,Sun,November,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Raw Materials,Employee,Others,Mines Safety,Procedure Not Followed,Sun,November,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Others,Mines Safety,Procedure Not Followed,Sun,November,Process Incidents,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Contractor,Others,Not Maintained,Procedure Not Adequate,Fri,December,Process Incidents,Single Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 8,Medium,First Aid
Raw Materials,Employee,Others,Barricading,Procedure Not Followed,Fri,December,Material Handling,Not Applicable,Not Applicable,Unsafe Act,PPE,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Others,Barricading,Procedure Not Followed,Fri,December,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,"Others,Process Safety",Behaviour,SIF,Topic 7,Low,First Aid
Raw Materials,Employee,Operations,Electrical Safety,Procedure Not Followed,Wed,December,Dashing/Collision,Group Working,M/C Working,Unsafe Act by Other,Others,Behaviour,SIF,Topic 8,High,First Aid
Raw Materials,Employee,Operations,Electrical Safety,Procedure Not Adequate,Wed,December,Dashing/Collision,Group Working,M/C Working,Unsafe Act by Other,Tools & Equipment,Behaviour,SINF,Topic 8,High,First Aid
Others,Employee,Others,Not Followed,Procedure Not Followed,Tue,December,Material Handling,Single Working,M/C Idle,Unsafe Act,Electrical Safety,Behaviour,SAF,Topic 9,Low,First Aid
Raw Materials,Employee,Others,Not Maintained,Procedure Not Existing,Wed,December,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 3,Low,Medical case
Raw Materials,Employee,Others,Not Maintained,Procedure Not Followed,Wed,December,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Contractor,Maintenance,Gas Safety,Procedure Not Followed,Wed,December,Fire/Explosion,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Medium,First Aid
Raw Materials,Contractor,Breaking & Sizing,Workplace Safety,Procedure Not Followed,Tue,December,Process Incidents,Group Working,M/C Idle,Unsafe Act,Orderliness,Behaviour,SANF,Topic 1,Low,Medical case
Raw Materials,Contractor,Breaking & Sizing,Workplace Safety,Procedure Not Followed,Tue,December,Process Incidents,Group Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SANF,Topic 1,Low,Medical case
Raw Materials,Contractor,Maintenance,Workplace Safety,Procedure Not Followed,Mon,December,Material Handling,Single Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Contractor,Maintenance,Workplace Safety,Procedure Not Followed,Mon,December,Material Handling,Single Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Employee,Operations,Tools & Equipment,Procedure Not Followed,Fri,December,Material Handling,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Operations,Tools & Equipment,Procedure Not Followed,Fri,December,Process Incidents,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Shared Services,Employee,Maintenance,Workplace Safety,Procedure Not Followed,Sun,May,Process Incidents,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Workplace Safety,Behaviour,SANF,Topic 5,Low,Medical case
Steel Manufacturing,Employee,Others,Workplace Safety,Procedure Not Followed,Sat,May,Road Incident,Not Applicable,M/C Working,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Shared Services,Employee,Operations,Health,Procedure Not Followed,Tue,May,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 6,Low,First Aid
Steel Manufacturing,Contractor,Operations,PPE,Procedure Not Adequate,Thu,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Barricading,Behaviour,SAF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Operations,Not Understood,Procedure Not Existing,Wed,May,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Adequate,Tue,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Barricading,Behaviour,SIF,Topic 9,High,First Aid
Shared Services,Employee,Maintenance,Not Maintained,Procedure Not Followed,Fri,June,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Orderliness,Behaviour,SANF,Topic 9,Medium,First Aid
Shared Services,Employee,Maintenance,Electrical Safety,Procedure Not Existing,Sat,June,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Shared Services,Employee,Maintenance,Others,Procedure Not Followed,Wed,July,Energy Isolation,Group Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SIF,Topic 4,Low,First Aid
Shared Services,Employee,Maintenance,PPE,Procedure Not Adequate,Sat,July,Energy Isolation,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Operations,Orderliness,Procedure Not Followed,Sun,July,Road Incident,Single Working,M/C Working,Unsafe Condition,Tools & Equipment,Behaviour,SIF,Topic 7,Low,First Aid
Raw Materials,Employee,Others,Road Safety,Procedure Not Followed,Fri,August,Material Handling,Group Working,Not Applicable,Unsafe Act by Other,Orderliness,Behaviour,SINF,Topic 7,Low,First Aid
Raw Materials,Employee,Others,Temp. Elect. Wiring,Procedure Not Existing,Fri,August,Road Incident,Group Working,Not Applicable,Unsafe Act by Other,Workplace Safety,Behaviour,SNNR,Topic 7,Low,First Aid
Raw Materials,Employee,Maintenance,Health,Procedure Not Existing,Mon,August,Skidding,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SNR,Topic 7,Medium,Medical case
Raw Materials,Employee,Maintenance,Uneasiness,Procedure Not Existing,Mon,August,Skidding,Group Working,M/C Working,Unsafe Act,Orderliness,Process,SINF,Topic 7,Low,Medical case
Raw Materials,Employee,Maintenance,Health,Procedure Not Existing,Mon,August,Skidding,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SNR,Topic 7,Medium,Medical case
Raw Materials,Employee,Maintenance,Uneasiness,Procedure Not Existing,Mon,August,Skidding,Group Working,M/C Working,Unsafe Act,Process Safety,Process,SANF,Topic 7,Low,Medical case
Engineering & Project,Employee,Operations,Barricading,Procedure Not Adequate,Sat,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 5,Low,First Aid
Shared Services,Employee,Maintenance,Not Followed,Procedure Not Followed,Tue,October,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 7,High,First Aid
Raw Materials,Employee,Maintenance,Temp. Elect. Wiring,Procedure Not Followed,Thu,October,Electrical Flash,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SNNR,Topic 6,Low,First Aid
Raw Materials,Employee,Maintenance,Not Maintained,Procedure Not Followed,Thu,October,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Others,Behaviour,SNNR,Topic 6,Low,First Aid
Steel Manufacturing,Contractor,Operations,Workplace Safety,Procedure Not Followed,Tue,October,Road Incident,Group Working,M/C Idle,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 2,Medium,First Aid
Shared Services,Employee,Others,Workplace Safety,Procedure Not Followed,Sun,October,Road Incident,Group Working,M/C Working,Unsafe Condition,Others,Behaviour,SINF,Topic 4,Low,Medical case
Engineering & Project,Employee,Others,Barricading,Procedure Not Followed,Thu,November,Hydraulic/Pneumatic,Single Working,M/C Idle,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Contractor,Transportation,Road Safety,Procedure Not Followed,Thu,December,Road Incident,Single Working,M/C Working,Unsafe Condition,Road Safety,Behaviour,SIF,Topic 9,Low,First Aid
Raw Materials,Contractor,Others,Health,Procedure Not Followed,Fri,December,Electrical Flash,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SIF,Topic 1,Medium,Medical case
Shared Services,Employee,Maintenance,Falling,Procedure Not Adequate,Thu,December,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Engineering & Project,Employee,Maintenance,Electrical Safety,Procedure Not Followed,Sun,December,Road Incident,Single Working,M/C Idle,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Engineering & Project,Contractor,Errection & Commissioning,Barricading,Procedure Not Followed,Thu,December,Material Handling,Single Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SNNR,Topic 5,Low,First Aid
Others,Employee,Others,Orderliness,Procedure Not Followed,Wed,December,Hot Metals,Group Working,Not Applicable,Unsafe Act,Workplace Safety,Behaviour,SANF,Topic 2,Low,First Aid
Engineering & Project,Contractor,Others,Not Followed,Procedure Not Existing,Mon,December,Road Incident,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 1,Low,First Aid
Others,Employee,Others,Others,Procedure Not Followed,Wed,December,Skidding,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Corporate Services,Employee,Operations,Caught Between,Procedure Not Followed,Thu,April,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Others,Process,SINF,Topic 2,Low,First Aid
Corporate Services,Employee,Others,Uneasiness,Procedure Not Followed,Sat,April,Road Incident,Single Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Others,PPE,Procedure Not Existing,Sat,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 1,Low,Medical case
Raw Materials,Employee,Others,PPE,Procedure Not Existing,Sat,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SIF,Topic 1,Low,Medical case
Steel Manufacturing,Employee,Maintenance,Electrical Safety,Procedure Not Followed,Tue,June,Run Over,Group Working,M/C Idle,Unsafe Condition,Others,Behaviour,SANF,Topic 4,High,Medical case
Engineering & Project,Contractor,Construction,Falling,Procedure Not Followed,Thu,June,Run Over,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SANF,Topic 6,Medium,First Aid
Engineering & Project,Contractor,Construction,Falling,Procedure Not Followed,Thu,June,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SANF,Topic 6,Medium,First Aid
Corporate Services,Contractor,Operations,Falling,Procedure Not Existing,Thu,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SANF,Topic 7,Low,Medical case
Steel Manufacturing,Employee,Maintenance,Electrical Safety,Procedure Not Followed,Sun,August,Road Incident,Group Working,M/C Working,Unsafe Act by Other,Others,Behaviour,SANF,Topic 6,Low,First Aid
Corporate Services,Contractor,Operations,Process Safety,Procedure Not Followed,Thu,September,Process Incidents,Group Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SNR,Topic 1,Low,First Aid
Engineering & Project,Employee,Others,Electrical Safety,Procedure Not Adequate,Fri,October,Process Incidents,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SNR,Topic 1,High,First Aid
Engineering & Project,Employee,Others,Electrical Safety,Procedure Not Followed,Fri,October,Road Incident,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 1,High,First Aid
Raw Materials,Employee,Operations,Caught Between,Procedure Not Existing,Tue,October,Process Incidents,Group Working,M/C Working,Unsafe Act,Material Handling,Process,SANF,Topic 9,Low,Medical case
Raw Materials,Employee,Operations,Not Understood,Procedure Not Followed,Tue,October,Process Incidents,Group Working,M/C Working,Unsafe Act,Material Handling,Process,SANF,Topic 9,Low,Medical case
Shared Services,Employee,Maintenance,Workplace Safety,Procedure Not Followed,Wed,October,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Maintenance,Process Safety,Procedure Not Followed,Mon,October,Road Incident,Single Working,Not Applicable,Unsafe Act,Fire Safety,Process,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Maintenance,Not Followed,Procedure Not Followed,Sun,October,Road Incident,Group Working,Not Applicable,Unsafe Act,Tools & Equipment,Process,SNR,Topic 4,Low,First Aid
Raw Materials,Employee,Maintenance,Not Followed,Procedure Not Existing,Sun,October,Material Handling,Group Working,Not Applicable,Unsafe Act,Tools & Equipment,Process,SNR,Topic 4,Low,First Aid
Raw Materials,Employee,Others,Mines Safety,Procedure Not Followed,Tue,November,Material Handling,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Gas Cutting & Welding,Behaviour,SANF,Topic 8,Low,Medical case
Raw Materials,Employee,Others,Mines Safety,Procedure Not Followed,Tue,November,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 8,Low,Medical case
Corporate Services,Contractor,Maintenance,Electrical Safety,Procedure Not Followed,Wed,November,Process Incidents,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Tue,November,Dashing/Collision,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 5,Medium,Medical case
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Tue,November,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Process Safety,Behaviour,SNNR,Topic 8,Medium,Medical case
Engineering & Project,Contractor,Maintenance,Workplace Safety,Procedure Not Followed,Sat,November,Road Incident,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Maintenance,Not Maintained,Procedure Not Adequate,Fri,November,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Behaviour,SIF,Topic 5,Low,First Aid
Engineering & Project,Employee,Construction,Others,Procedure Not Followed,Thu,November,Road Incident,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Contractor,Others,Workplace Safety,Procedure Not Followed,Tue,December,Slip/Trip/Fall,Not Applicable,M/C Idle,Unsafe Condition,Excavation,Behaviour,SINF,Topic 6,Low,First Aid
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Fri,December,Material Handling,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SNNR,Topic 8,Low,Medical case
Raw Materials,Employee,Operations,Mines Safety,Procedure Not Followed,Fri,December,Road Incident,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 8,Low,Medical case
Corporate Services,Employee,Maintenance,Material Handling,Procedure Not Existing,Thu,December,Structural Integrity,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Employee,Others,Not Maintained,Procedure Not Adequate,Wed,April,Lifting Tools Tackles,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Steel Manufacturing,Contractor,Others,Workplace Safety,Procedure Not Adequate,Tue,April,Process Incidents,Single Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SIF,Topic 4,High,First Aid
Steel Manufacturing,Employee,Operations,Road Safety,Procedure Not Followed,Tue,May,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Operations,Not Maintained,Procedure Not Adequate,Mon,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SIF,Topic 1,Low,First Aid
Shared Services,Employee,Maintenance,Process Safety,Procedure Not Existing,Tue,May,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Workplace Safety,Process,SAF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Operations,Confine Space,Procedure Not Existing,Sun,June,Workplace Safety,Group Working,M/C Working,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,Medical case
Corporate Services,Employee,Operations,Caught Between,Procedure Not Followed,Tue,July,Workplace Safety,Group Working,Not Applicable,Unsafe Act,PPE,Behaviour,SIF,Topic 7,Low,First Aid
Shared Services,Employee,Others,Tools & Equipment,Procedure Not Followed,Tue,July,Material Handling,Group Working,M/C Working,Unsafe Condition,Tools & Equipment,Process,SIF,Topic 8,Low,First Aid
Shared Services,Contractor,Maintenance,Barricading,Procedure Not Followed,Fri,July,Road Incident,Group Working,M/C Idle,Unsafe Condition,Others,Process,SNNR,Topic 7,Low,First Aid
Corporate Services,Employee,Operations,PPE,Procedure Not Followed,Sun,August,Dashing/Collision,Single Working,Not Applicable,Unsafe Condition,PPE,Behaviour,SNNR,Topic 2,Low,Medical case
Shared Services,Employee,Maintenance,Others,Procedure Not Followed,Sat,August,Process Incidents,Group Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SAF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Others,Workplace Safety,Procedure Not Followed,Tue,August,Process Incidents,Single Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Contractor,Maintenance,Electrical Safety,Procedure Not Adequate,Wed,September,Road Incident,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,Medical case
Corporate Services,Employee,Operations,Material Handling,Procedure Not Followed,Fri,September,Material Handling,Single Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Others,Not Followed,Procedure Not Followed,Thu,September,Hot Metals,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Process,SIF,Topic 2,Low,First Aid
Corporate Services,Employee,Maintenance,Not Maintained,Procedure Not Followed,Sat,October,Skidding,Single Working,Not Applicable,Unsafe Act,Orderliness,Process,SANF,Topic 5,Low,First Aid
Corporate Services,Contractor,Operations,Not Maintained,Procedure Not Followed,Thu,October,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 7,Low,First Aid
Corporate Services,Employee,Operations,Falling,Procedure Not Followed,Mon,October,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Orderliness,Behaviour,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Operations,Falling,Procedure Not Adequate,Wed,October,Road Incident,Group Working,M/C Working,Unsafe Act,Workplace Safety,Behaviour,SNR,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Others,Not Maintained,Procedure Not Followed,Mon,November,Road Incident,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SNR,Topic 7,Low,First Aid
Corporate Services,Employee,Others,Orderliness,Procedure Not Adequate,Wed,November,Process Incidents,Group Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SAF,Topic 2,Low,Medical case
 TQM & Steel Business ,Employee,Others,Barricading,Procedure Not Followed,Tue,November,Road Incident,Single Working,M/C Idle,Unsafe Act,Excavation,Process,SAF,Topic 8,Low,First Aid
Shared Services,Contractor,Others,Not Followed,Procedure Not Followed,Thu,November,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Others,Process,SANF,Topic 6,High,First Aid
Corporate Services,Employee,Operations,Workplace Safety,Procedure Not Existing,Mon,November,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Fire Safety,Process,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Others,Confine Space,Procedure Not Followed,Thu,December,Equipment Machinery Damage,Not Applicable,M/C Working,Unsafe Condition,Mines Safety,Behaviour,SNNR,Topic 5,Low,Medical case
Raw Materials,Contractor,Others,Not Followed,Procedure Not Existing,Wed,December,Toxic Chemicals,Single Working,Not Applicable,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,First Aid
Raw Materials,Contractor,Others,Not Followed,Procedure Not Adequate,Wed,December,Lifting Tools Tackles,Single Working,Not Applicable,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,First Aid
