Division,Observation.related.to,Day,Month,Primary.Cause,Working.Condition,Machine.Condition,Observation.Type,Safety.Standards,Incident.Type,SOP.Combined,Topic,Injury_risk,Injury Type
Raw Materials,Employee,Fri,June,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Mines Safety,Process,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Tue,June,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Process,SNR,Topic 8,Low,First Aid
Raw Materials,Employee,Tue,June,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Fire Safety,Process,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Mon,June,Skidding,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SNR,Topic 6,Low,First Aid
Raw Materials,Employee,Thu,July,Skidding,Group Working,Not Applicable,Unsafe Act,Working at Height,Behaviour,SNR,Topic 1,Medium,First Aid
Raw Materials,Employee,Thu,July,Road Incident,Group Working,Not Applicable,Unsafe Act,Others,Behaviour,SNR,Topic 4,Medium,First Aid
Raw Materials,Contractor,Fri,July,Process Incidents,Single Working,Not Applicable,Unsafe Act,Working at Height,Behaviour,SANF,Topic 7,Low,Medical case
Raw Materials,Contractor,Fri,July,Road Incident,Single Working,Not Applicable,Unsafe Act,Excavation,Behaviour,SNR,Topic 7,Low,Medical case
Engineering & Project,Employee,Mon,September,Road Incident,Single Working,M/C Idle,Unsafe Condition,Dismantling,Behaviour,SANF,Topic 4,Medium,First Aid
Engineering & Project,Contractor,Tue,September,Material Handling,Single Working,M/C Working,Unsafe Act,Road Safety,Behaviour,SANF,Topic 5,Medium,Medical case
Engineering & Project,Employee,Sat,September,Material Handling,Group Working,M/C Working,Unsafe Act,Work Permit System,Process,SANF,Topic 6,Medium,Medical case
Engineering & Project,Employee,Fri,September,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 4,Medium,Medical case
Steel Manufacturing,Employee,Sun,November,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Raw Materials,Employee,Sun,November,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Raw Materials,Employee,Sun,November,Process Incidents,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,First Aid
Steel Manufacturing,Contractor,Fri,December,Process Incidents,Single Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 8,Medium,First Aid
Raw Materials,Employee,Fri,December,Material Handling,Not Applicable,Not Applicable,Unsafe Act,PPE,Behaviour,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Fri,December,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,"Positive Isolations,Process Safety",Behaviour,SIF,Topic 7,Low,First Aid
Raw Materials,Employee,Wed,December,Dashing/Collision,Group Working,M/C Working,Unsafe Act by Other,Others,Behaviour,SIF,Topic 8,High,First Aid
Raw Materials,Employee,Wed,December,Dashing/Collision,Group Working,M/C Working,Unsafe Act by Other,Tools & Equipment,Behaviour,SINF,Topic 8,High,First Aid
Others,Employee,Tue,December,Material Handling,Single Working,M/C Idle,Unsafe Act,Electrical Safety,Behaviour,SAF,Topic 9,Low,First Aid
Raw Materials,Employee,Wed,December,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 3,Low,Medical case
Raw Materials,Employee,Wed,December,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Contractor,Wed,December,Fire/Explosion,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SANF,Topic 1,Medium,First Aid
Raw Materials,Contractor,Tue,December,Process Incidents,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 1,Low,Medical case
Raw Materials,Contractor,Tue,December,Process Incidents,Group Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SANF,Topic 1,Low,Medical case
Raw Materials,Contractor,Mon,December,Material Handling,Single Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Contractor,Mon,December,Material Handling,Single Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SANF,Topic 6,Low,First Aid
Raw Materials,Employee,Fri,December,Material Handling,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Fri,December,Process Incidents,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Shared Services,Employee,Sun,May,Process Incidents,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Working at Height,Behaviour,SANF,Topic 5,Low,Medical case
Steel Manufacturing,Employee,Sat,May,Road Incident,Not Applicable,M/C Working,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Shared Services,Employee,Tue,May,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 6,Low,First Aid
Steel Manufacturing,Contractor,Thu,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Barricading,Behaviour,SAF,Topic 8,Low,First Aid
Steel Manufacturing,Employee,Wed,May,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Shared Services,Employee,Tue,June,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Barricading,Behaviour,SIF,Topic 9,High,First Aid
Shared Services,Employee,Fri,June,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 9,Medium,First Aid
Shared Services,Employee,Sat,June,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Shared Services,Employee,Wed,July,Energy Isolation,Group Working,M/C Idle,Unsafe Condition,Dismantling,Behaviour,SIF,Topic 4,Low,First Aid
Shared Services,Employee,Sat,July,Energy Isolation,Single Working,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Sun,July,Road Incident,Single Working,M/C Working,Unsafe Condition,Tools & Equipment,Behaviour,SIF,Topic 7,Low,First Aid
Raw Materials,Employee,Fri,August,Material Handling,Group Working,Not Applicable,Unsafe Act by Other,Dismantling,Behaviour,SINF,Topic 7,Low,First Aid
Raw Materials,Employee,Fri,August,Road Incident,Group Working,Not Applicable,Unsafe Act by Other,Work Permit System,Behaviour,SNNR,Topic 7,Low,First Aid
Raw Materials,Employee,Mon,August,Skidding,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SNR,Topic 7,Medium,Medical case
Raw Materials,Employee,Mon,August,Skidding,Group Working,M/C Working,Unsafe Act,Dismantling,Process,SINF,Topic 7,Low,Medical case
Raw Materials,Employee,Mon,August,Skidding,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Tools & Equipment,Behaviour,SNR,Topic 7,Medium,Medical case
Raw Materials,Employee,Mon,August,Skidding,Group Working,M/C Working,Unsafe Act,Process Safety,Process,SANF,Topic 7,Low,Medical case
Engineering & Project,Employee,Sat,September,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Tools & Equipment,Behaviour,SAF,Topic 5,Low,First Aid
Shared Services,Employee,Tue,October,Dashing/Collision,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SIF,Topic 7,High,First Aid
Raw Materials,Employee,Thu,October,Electrical Flash,Group Working,M/C Idle,Unsafe Act,Others,Behaviour,SNNR,Topic 6,Low,First Aid
Raw Materials,Employee,Thu,October,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Others,Behaviour,SNNR,Topic 6,Low,First Aid
Steel Manufacturing,Contractor,Tue,October,Road Incident,Group Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SANF,Topic 2,Medium,First Aid
Shared Services,Employee,Sun,October,Road Incident,Group Working,M/C Working,Unsafe Condition,Others,Behaviour,SINF,Topic 4,Low,Medical case
Engineering & Project,Employee,Thu,November,Hydraulic/Pneumatic,Single Working,M/C Idle,Unsafe Condition,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Contractor,Thu,December,Road Incident,Single Working,M/C Working,Unsafe Condition,Road Safety,Behaviour,SIF,Topic 9,Low,First Aid
Raw Materials,Contractor,Fri,December,Electrical Flash,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SIF,Topic 1,Medium,Medical case
Shared Services,Employee,Thu,December,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,High,First Aid
Engineering & Project,Employee,Sun,December,Road Incident,Single Working,M/C Idle,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Engineering & Project,Contractor,Thu,December,Material Handling,Single Working,Not Applicable,Unsafe Act,Orderliness,Behaviour,SNNR,Topic 5,Low,First Aid
Others,Employee,Wed,December,Hot Metals,Group Working,Not Applicable,Unsafe Act,Working at Height,Behaviour,SANF,Topic 2,Low,First Aid
Engineering & Project,Contractor,Mon,December,Road Incident,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SAF,Topic 1,Low,First Aid
Others,Employee,Wed,December,Skidding,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Corporate Services,Employee,Thu,April,Dashing/Collision,Single Working,M/C Working,Unsafe Act,Others,Process,SINF,Topic 2,Low,First Aid
Corporate Services,Employee,Sat,April,Road Incident,Single Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 4,Low,First Aid
Raw Materials,Employee,Sat,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 1,Low,Medical case
Raw Materials,Employee,Sat,May,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SIF,Topic 1,Low,Medical case
Steel Manufacturing,Employee,Tue,June,Run Over,Group Working,M/C Idle,Unsafe Condition,Others,Behaviour,SANF,Topic 4,High,Medical case
Engineering & Project,Contractor,Thu,June,Run Over,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SANF,Topic 6,Medium,First Aid
Engineering & Project,Contractor,Thu,June,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Gas Cutting & Welding,Behaviour,SANF,Topic 6,Medium,First Aid
Corporate Services,Contractor,Thu,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SANF,Topic 7,Low,Medical case
Steel Manufacturing,Employee,Sun,August,Road Incident,Group Working,M/C Working,Unsafe Act by Other,Others,Behaviour,SANF,Topic 6,Low,First Aid
Corporate Services,Contractor,Thu,September,Process Incidents,Group Working,M/C Idle,Unsafe Act,Excavation,Behaviour,SNR,Topic 1,Low,First Aid
Engineering & Project,Employee,Fri,October,Process Incidents,Group Working,M/C Idle,Unsafe Act,Material Handling,Behaviour,SNR,Topic 1,High,First Aid
Engineering & Project,Employee,Fri,October,Road Incident,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SNR,Topic 1,High,First Aid
Raw Materials,Employee,Tue,October,Process Incidents,Group Working,M/C Working,Unsafe Act,Material Handling,Process,SANF,Topic 9,Low,Medical case
Raw Materials,Employee,Tue,October,Process Incidents,Group Working,M/C Working,Unsafe Act,Material Handling,Process,SANF,Topic 9,Low,Medical case
Shared Services,Employee,Wed,October,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Excavation,Behaviour,SANF,Topic 9,Low,First Aid
Steel Manufacturing,Employee,Mon,October,Road Incident,Single Working,Not Applicable,Unsafe Act,Fire Safety,Process,SANF,Topic 7,Low,First Aid
Raw Materials,Employee,Sun,October,Road Incident,Group Working,Not Applicable,Unsafe Act,Tools & Equipment,Process,SNR,Topic 4,Low,First Aid
Raw Materials,Employee,Sun,October,Material Handling,Group Working,Not Applicable,Unsafe Act,Tools & Equipment,Process,SNR,Topic 4,Low,First Aid
Raw Materials,Employee,Tue,November,Material Handling,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Gas Cutting & Welding,Behaviour,SANF,Topic 8,Low,Medical case
Raw Materials,Employee,Tue,November,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 8,Low,Medical case
Corporate Services,Contractor,Wed,November,Process Incidents,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 1,Low,First Aid
Raw Materials,Employee,Tue,November,Dashing/Collision,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SANF,Topic 5,Medium,Medical case
Raw Materials,Employee,Tue,November,Road Incident,Group Working,M/C Working,Unsafe Act & Unsafe Condition,Process Safety,Behaviour,SNNR,Topic 8,Medium,Medical case
Engineering & Project,Contractor,Sat,November,Road Incident,Group Working,M/C Working,Unsafe Act,Tools & Equipment,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Employee,Fri,November,Road Incident,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,PPE,Behaviour,SIF,Topic 5,Low,First Aid
Engineering & Project,Employee,Thu,November,Road Incident,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Contractor,Tue,December,Slip/Trip/Fall,Not Applicable,M/C Idle,Unsafe Condition,Excavation,Behaviour,SINF,Topic 6,Low,First Aid
Raw Materials,Employee,Fri,December,Material Handling,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Mines Safety,Behaviour,SNNR,Topic 8,Low,Medical case
Raw Materials,Employee,Fri,December,Road Incident,Single Working,M/C Idle,Unsafe Act & Unsafe Condition,Others,Behaviour,SNNR,Topic 8,Low,Medical case
Corporate Services,Employee,Thu,December,Structural Integrity,Group Working,M/C Idle,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Employee,Wed,April,Lifting Tools Tackles,Group Working,Not Applicable,Unsafe Act & Unsafe Condition,Road Safety,Behaviour,SANF,Topic 3,Low,First Aid
Steel Manufacturing,Contractor,Tue,April,Process Incidents,Single Working,M/C Idle,Unsafe Act,Confine Space,Behaviour,SIF,Topic 4,High,First Aid
Steel Manufacturing,Employee,Tue,May,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Steel Manufacturing,Employee,Mon,May,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act & Unsafe Condition,Material Handling,Behaviour,SIF,Topic 1,Low,First Aid
Shared Services,Employee,Tue,May,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Work Permit System,Process,SAF,Topic 6,Low,First Aid
Steel Manufacturing,Employee,Sun,June,Working at Height,Group Working,M/C Working,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,Medical case
Corporate Services,Employee,Tue,July,Working at Height,Group Working,Not Applicable,Unsafe Act,PPE,Behaviour,SIF,Topic 7,Low,First Aid
Shared Services,Employee,Tue,July,Material Handling,Group Working,M/C Working,Unsafe Condition,Tools & Equipment,Process,SIF,Topic 8,Low,First Aid
Shared Services,Contractor,Fri,July,Road Incident,Group Working,M/C Idle,Unsafe Condition,Others,Process,SNNR,Topic 7,Low,First Aid
Corporate Services,Employee,Sun,August,Dashing/Collision,Single Working,Not Applicable,Unsafe Condition,PPE,Behaviour,SNNR,Topic 2,Low,Medical case
Shared Services,Employee,Sat,August,Process Incidents,Group Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SAF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Tue,August,Process Incidents,Single Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 7,Low,First Aid
Shared Services,Contractor,Wed,September,Road Incident,Group Working,M/C Idle,Unsafe Act,Mines Safety,Behaviour,SANF,Topic 8,Low,Medical case
Corporate Services,Employee,Fri,September,Material Handling,Single Working,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 1,Low,First Aid
Steel Manufacturing,Contractor,Thu,September,Hot Metals,Group Working,M/C Idle,Unsafe Act,Tools & Equipment,Process,SIF,Topic 2,Low,First Aid
Corporate Services,Employee,Sat,October,Skidding,Single Working,Not Applicable,Unsafe Act,Dismantling,Process,SANF,Topic 5,Low,First Aid
Corporate Services,Contractor,Thu,October,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 7,Low,First Aid
Corporate Services,Employee,Mon,October,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Act,Dismantling,Behaviour,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Wed,October,Road Incident,Group Working,M/C Working,Unsafe Act,Working at Height,Behaviour,SNR,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Mon,November,Road Incident,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SNR,Topic 7,Low,First Aid
Corporate Services,Employee,Wed,November,Process Incidents,Group Working,M/C Idle,Unsafe Condition,Dismantling,Behaviour,SAF,Topic 2,Low,Medical case
 TQM & Steel Business ,Employee,Tue,November,Road Incident,Single Working,M/C Idle,Unsafe Act,Excavation,Process,SAF,Topic 8,Low,First Aid
Shared Services,Contractor,Thu,November,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Act,Others,Process,SANF,Topic 6,High,First Aid
Corporate Services,Employee,Mon,November,Dashing/Collision,Group Working,M/C Working,Unsafe Act,Fire Safety,Process,SANF,Topic 2,Low,First Aid
Corporate Services,Employee,Thu,December,Equipment Machinery Damage,Not Applicable,M/C Working,Unsafe Condition,Mines Safety,Behaviour,SNNR,Topic 5,Low,Medical case
Raw Materials,Contractor,Wed,December,Toxic Chemicals,Single Working,Not Applicable,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,First Aid
Raw Materials,Contractor,Wed,December,Lifting Tools Tackles,Single Working,Not Applicable,Unsafe Act,Others,Behaviour,SAF,Topic 9,Low,First Aid
Shared Services,Contractor,Thu,December,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Act & Unsafe Condition,Work Permit System,Process,SIF,Topic 6,Medium,First Aid
Steel Manufacturing,Employee,Thu,December,Material Handling,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Fire Safety,Behaviour,SNR,Topic 6,Low,First Aid
Corporate Services,Employee,Thu,December,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,Material Handling,Behaviour,SAF,Topic 2,Medium,First Aid
Steel Manufacturing,Employee,Fri,December,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SNNR,Topic 9,Low,Medical case
Corporate Services,Employee,Thu,December,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Barricading,Behaviour,SAF,Topic 4,Low,First Aid
Steel Manufacturing,Employee,Fri,April,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Medium,Medical case
Others,Contractor,Mon,May,Material Handling,Single Working,M/C Idle,Unsafe Act,Road Safety,Behaviour,SNR,Topic 5,High,First Aid
Shared Services,Employee,Fri,May,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Condition,PPE,Behaviour,SIF,Topic 6,Low,First Aid
Engineering & Project,Contractor,Thu,May,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act,Road Safety,Behaviour,SNNR,Topic 3,Medium,First Aid
Engineering & Project,Employee,Fri,June,Lifting Tools Tackles,Group Working,M/C Idle,Unsafe Condition,PPE,Behaviour,SNNR,Topic 3,Low,First Aid
Shared Services,Employee,Thu,June,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act & Unsafe Condition,Others,Behaviour,SAF,Topic 3,Medium,Medical case
Engineering & Project,Employee,Mon,June,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act by Other,Others,Behaviour,SAF,Topic 3,Medium,Medical case
Engineering & Project,Employee,Tue,June,Hot Metals,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNNR,Topic 3,Low,Medical case
Engineering & Project,Contractor,Thu,June,Road Incident,Single Working,M/C Idle,Unsafe Act,Working at Height,Behaviour,SNR,Topic 9,Low,First Aid
Engineering & Project,Contractor,Wed,June,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Work Permit System,Behaviour,SNR,Topic 1,High,Medical case
Shared Services,Employee,Wed,June,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Others,Behaviour,SNNR,Topic 3,High,Medical case
Others,Contractor,Sat,July,Dashing/Collision,Single Working,Not Applicable,Unsafe Act,Confine Space,Behaviour,SNNR,Topic 9,High,First Aid
Shared Services,Employee,Fri,July,Slip/Trip/Fall,Group Working,M/C Working,Unsafe Condition,Barricading,Process,SIF,Topic 6,Medium,First Aid
Engineering & Project,Contractor,Tue,July,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Work Permit System,Behaviour,SNR,Topic 8,High,LTI
Others,Employee,Wed,July,Slip/Trip/Fall,Single Working,M/C Working,Unsafe Act,PPE,Behaviour,SANF,Topic 3,Low,First Aid
Shared Services,Employee,Sat,July,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SAF,Topic 3,Medium,Medical case
Shared Services,Employee,Fri,July,Slip/Trip/Fall,Group Working,M/C Idle,Unsafe Condition,Electrical Safety,Process,SINF,Topic 6,Low,First Aid
Shared Services,Employee,Sun,August,Dashing/Collision,Not Applicable,Not Applicable,Unsafe Act,Fire Safety,Behaviour,SANF,Topic 3,Low,First Aid
Others,Employee,Fri,August,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act by Other,Road Safety,Behaviour,SNR,Topic 9,High,First Aid
Shared Services,Employee,Thu,August,Slip/Trip/Fall,Group Working,Not Applicable,Unsafe Act,Dismantling,Behaviour,SINF,Topic 4,Low,First Aid
Shared Services,Employee,Sat,September,Road Incident,Single Working,M/C Idle,Unsafe Condition,Orderliness,Behaviour,SAF,Topic 9,Low,First Aid
Shared Services,Employee,Fri,September,Slip/Trip/Fall,Not Applicable,Not Applicable,Unsafe Act,Electrical Safety,Behaviour,SANF,Topic 3,Low,First Aid
Others,Employee,Wed,September,Dashing/Collision,Single Working,M/C Idle,Unsafe Act by Other,Barricading,Behaviour,SAF,Topic 3,Low,First Aid
Engineering & Project,Contractor,Wed,October,Structural Integrity,Group Working,Not Applicable,Unsafe Act,Material Handling,Behaviour,SIF,Topic 1,High,Medical case
Steel Manufacturing,Contractor,Mon,October,Structural Integrity,Group Working,M/C Idle,Unsafe Act,Dismantling,Behaviour,SANF,Topic 8,Low,First Aid
Shared Services,Contractor,Sat,October,Road Incident,Group Working,M/C Idle,Unsafe Act,PPE,Behaviour,SIF,Topic 6,Low,First Aid
Engineering & Project,Employee,Mon,November,Process Incidents,Single Working,Not Applicable,Unsafe Condition,Road Safety,Behaviour,SNNR,Topic 3,Low,First Aid
Corporate Services,Employee,Thu,November,Material Handling,Group Working,M/C Idle,Unsafe Act,Electrical Safety,Process,SIF,Topic 6,Low,Medical case
Engineering & Project,Employee,Mon,November,Road Incident,Not Applicable,M/C Idle,Unsafe Act,Excavation,Behaviour,SIF,Topic 9,Low,Medical case
Engineering & Project,Contractor,Sat,November,Slip/Trip/Fall,Single Working,Not Applicable,Unsafe Act,Others,Behaviour,SNNR,Topic 9,Medium,LTI
Engineering & Project,Employee,Wed,November,Material Handling,Not Applicable,Not Applicable,Unsafe Condition,PPE,Process,SNNR,Topic 7,Low,Medical case
Engineering & Project,Contractor,Mon,November,Slip/Trip/Fall,Single Working,M/C Idle,Unsafe Act,Others,Behaviour,SANF,Topic 4,Low,First Aid
Engineering & Project,Employee,Fri,December,Road Incident,Group Working,M/C Idle,Unsafe Condition,Work Permit System,Behaviour,SNR,Topic 4,Low,First Aid
Engineering & Project,Contractor,Sat,December,Process Incidents,Group Working,Not Applicable,Unsafe Act,Material Handling,Process,SINF,Topic 1,High,First Aid
